model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_distance_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_similarity_s,profile_fit_standardize_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_similarity_s,profile_predict_standardize_s,profile_predict_vote_s,profile_train_predict_distance_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s,profile_train_predict_vote_s
svm_classical,42,5608,2000,8,,0.09599828499631258,0.08079796200036071,,,,0.09598985999764409,,,,,0.04061657900456339,0.04017362499871524,,,,,0.11384241099585779,0.11377242900198326,
knn_classical,42,5608,2000,8,,0.003680337998957839,0.030067962004977744,,,,0.0036754730026586913,,,,,0.015245449998474214,0.01481683299789438,,,,,0.039904946002934594,0.04093177899630973,
state_svm_angle,42,5608,2000,8,8,1.297178723005345,0.4726957059974666,,0.7927136439975584,0.03447930500260554,0.07049378699593944,0.3994084619989735,,,0.30416837799566565,0.018101739005942363,0.019180142000550404,0.13123067999549676,,,,0.039834212002460845,0.050319830996159,
state_svm_amplitude,42,5608,2000,8,3,0.9467633180029225,0.4032189439967624,,0.6701272220016108,0.00021393500355770811,0.09142561000044225,0.18494881600054214,,,0.31399220000457717,0.02005772499978775,0.024387097997532692,0.04476627399708377,,,,0.045186698000179604,0.05482771000242792,
state_svm_zz,42,5608,2000,8,8,8.058788545997231,2.8681482989995857,,7.5309726820050855,0.00025395799457328394,0.054635394997603726,0.47283074499864597,,,2.7081254650038318,0.014638526998169255,0.01655841799947666,0.12880953399871942,,,,0.0324582460016245,0.04300070900353603,
state_knn_angle,42,5608,2000,8,8,0.8369707669990021,0.6617745659968932,,0.8366008559969487,0.00021663900406565517,,,,0.14655673399829539,0.30635957999766106,3.305699647171423e-05,2.2566004190593958e-05,,,0.20878045699646464,0.4363885759958066,6.38390047242865e-05,2.313099685125053e-05,0.56560290500056
state_knn_amplitude,42,5608,2000,8,3,0.7545342410012381,0.5065988749993267,,0.7541841539932648,0.00021623700013151392,,,,0.053369809000287205,0.2379260070010787,2.9768998501822352e-05,2.389799919910729e-05,,,0.21522763999382732,0.2264543639976182,6.478100112872198e-05,2.3663997126277536e-05,0.5660724389963434
state_knn_zz,42,5608,2000,8,8,7.6265496790001635,3.0794243099953746,,7.626186567002151,0.0002132500012521632,,,,0.13358759399852715,2.7301844659959897,3.0087998311500996e-05,2.226099604740739e-05,,,0.21557880500040483,0.44848901400109753,6.515099812531844e-05,2.282499917782843e-05,0.5650381539962837
hybrid_svm_angle,42,5608,2000,8,8,1.4152441230035038,0.6003636680034106,,1.24895750900032,0.00021005300368415192,0.16513958699943032,,0.0008822660020086914,,0.46218266100186156,0.06930637000186834,0.0686046240007272,,0.00025845599884632975,,,0.19322121100412915,0.19188247800047975,
hybrid_svm_amplitude,42,5608,2000,8,3,1.195416036003735,0.5036357080025482,,0.9461297840025509,0.00021266999829094857,0.24829584200051613,,0.0007479599953512661,,0.2867974260007031,0.10887113599892473,0.10766496100404765,,0.0002874429992516525,,,0.3026916320013697,0.30012464599712985,
