family,model,n_seeds,n_test,roc_auc,roc_auc_std,fpr,tpr,tpr_std
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.0,0.0,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.01,0.842,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.02,0.875,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.03,0.899,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.04,0.921,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.05,0.926,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.06,0.947,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.07,0.955,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.08,0.956,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.09,0.956,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.1,0.968,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.11,0.968,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.12,0.969,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.13,0.971,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.14,0.972,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.15,0.972,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.16,0.972,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.17,0.972,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.18,0.974,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.19,0.974,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.2,0.975,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.21,0.975,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.22,0.977,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.23,0.978,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.24,0.978,0.0
svm,svm_classical,1,2000,0.9858300000000001,0.0,0.25,0.98,0.0
