model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std,train_time_mean_s,train_time_std_s,predict_time_mean_s,predict_time_std_s,n_train,n_test,n_features,n_qubits
svm_classical,0.937,0.0,0.9668803418803419,0.0,0.905,0.0,0.9349173553719008,0.0,0.9858300000000001,0.0,0.2200719409956946,0.0,0.13447258499945747,0.0,7906,2000,8,
knn_classical,0.974,0.0,0.9711729622266402,0.0,0.977,0.0,0.9740777666999003,0.0,0.9885759999999999,0.0,0.005614970999886282,0.0,0.020218199002556503,0.0,7906,2000,8,
state_svm_angle,0.9135,0.0,0.9558985667034179,0.0,0.867,0.0,0.9092815941269009,0.0,0.9780300000000001,0.0,2.101590784994187,0.0,0.5687699240006623,0.0,7906,2000,8,8
state_svm_amplitude,0.908,0.0,0.9406047516198704,0.0,0.871,0.0,0.9044652128764278,0.0,0.9679599999999999,0.0,1.5053970090011717,0.0,0.4079841310012853,0.0,7906,2000,8,3
state_svm_zz,0.957,0.0,0.9740663900414938,0.0,0.939,0.0,0.9562118126272913,0.0,0.990894,0.0,11.579275754003902,0.0,3.0745763359955163,0.0,7906,2000,8,8
state_knn_angle,0.968,0.0,0.968937875751503,0.0,0.967,0.0,0.9679679679679679,0.0,0.992089,0.0,1.0722052849960164,0.0,0.7940444230043795,0.0,7906,2000,8,8
state_knn_amplitude,0.9685,0.0,0.9727547931382442,0.0,0.964,0.0,0.9683576092415871,0.0,0.9902655,0.0,0.9984092899976531,0.0,0.6433610339954612,0.0,7906,2000,8,3
state_knn_zz,0.9665,0.0,0.9688442211055276,0.0,0.964,0.0,0.9664160401002506,0.0,0.9912435,0.0,10.819620449001377,0.0,3.2867365479978616,0.0,7906,2000,8,8
hybrid_svm_angle,0.92,0.0,0.9605263157894737,0.0,0.876,0.0,0.9163179916317992,0.0,0.9754855000000001,0.0,2.126156407997769,0.0,0.644889504997991,0.0,7906,2000,8,8
hybrid_svm_amplitude,0.8625,0.0,0.9171461449942463,0.0,0.797,0.0,0.8528624933119315,0.0,0.9588700000000001,0.0,1.6107358659937745,0.0,0.4810237630008487,0.0,7906,2000,8,3
hybrid_svm_zz,0.822,0.0,0.8726851851851852,0.0,0.754,0.0,0.8090128755364807,0.0,0.9008570000000001,0.0,16.003040918003535,0.0,4.950011485001596,0.0,7906,2000,8,8
hybrid_knn_angle,0.9715,0.0,0.9654491609081934,0.0,0.978,0.0,0.9716840536512668,0.0,0.9898975,0.0,2.2507698310000706,0.0,0.6095244709940744,0.0,7906,2000,8,8
hybrid_knn_amplitude,0.962,0.0,0.9610778443113772,0.0,0.963,0.0,0.962037962037962,0.0,0.9844105,0.0,1.4071383740010788,0.0,0.38102265800262103,0.0,7906,2000,8,3
hybrid_knn_zz,0.8845,0.0,0.9165763813651138,0.0,0.846,0.0,0.8798751950078003,0.0,0.9449380000000001,0.0,16.316525094996905,0.0,3.579848141002003,0.0,7906,2000,8,8
photonic_hybrid_svm_angle,0.9235,0.0,0.963855421686747,0.0,0.88,0.0,0.9200209095661265,0.0,0.984985,0.0,0.8315364719965146,0.0,0.26113459600310307,0.0,7906,2000,56,
photonic_hybrid_svm_amplitude,0.9215,0.0,0.9616648411829135,0.0,0.878,0.0,0.9179299529534762,0.0,0.97088,0.0,0.3094162260022131,0.0,0.17648381699837046,0.0,7906,2000,10,
photonic_state_svm_angle,0.9145,0.0,0.9590254706533776,0.0,0.866,0.0,0.9101418812401472,0.0,0.9751489999999999,0.0,0.5964448550002999,0.0,0.174187668999366,0.0,7906,2000,8,
photonic_hybrid_knn_angle,0.9705,0.0,0.9672293942403177,0.0,0.974,0.0,0.9706028898854011,0.0,0.9884299999999999,0.0,0.5283596500012209,0.0,0.301746450997598,0.0,7906,2000,56,
photonic_hybrid_knn_amplitude,0.97,0.0,0.969061876247505,0.0,0.971,0.0,0.97002997002997,0.0,0.9871774999999999,0.0,0.508144467996317,0.0,0.29937965799763333,0.0,7906,2000,10,
photonic_state_knn_angle,0.9725,0.0,0.9701492537313433,0.0,0.975,0.0,0.972568578553616,0.0,0.9910525,0.0,0.6216413410002133,0.0,0.34999200599850155,0.0,7906,2000,8,
