model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_distance_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_similarity_s,profile_fit_standardize_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_similarity_s,profile_predict_standardize_s,profile_predict_vote_s,profile_train_predict_distance_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s,profile_train_predict_vote_s
svm_classical,42,14906,2000,10,,0.24717227100336459,0.06493274599779397,,,,0.24716510999860475,,,,,0.03238152799895033,0.03254468199884286,,,,,0.23965854499692796,0.23829792499600444,
svm_classical,43,14906,2000,10,,0.25669335600105114,0.06585423400247237,,,,0.25668511900585145,,,,,0.03317842799879145,0.032669139000063296,,,,,0.2436799209972378,0.2423754010014818,
svm_classical,44,14906,2000,10,,0.3179806819971418,0.07111572699795943,,,,0.3179723819994251,,,,,0.0356891990013537,0.03541914800007362,,,,,0.2620631140016485,0.26103433599928394,
state_svm_angle,42,14906,2000,10,10,10.655192541998986,1.5908567950027646,,2.5969236499950057,0.034284335997654125,0.2008551990002161,7.822970007997355,,,0.3616925230016932,0.021976647003612015,0.03318150599807268,1.1735253529986949,,,,0.16267761299968697,0.243511804001173,
state_svm_angle,43,14906,2000,10,10,10.448991839999508,1.5314985560034984,,2.671870690996002,0.00020906900317640975,0.23035116599930916,7.546404777000134,,,0.2863608629995724,0.02196449600160122,0.032808626994665246,1.1899080139992293,,,,0.18973396100045647,0.24888389200350503,
state_svm_angle,44,14906,2000,10,10,10.025609115000407,1.5525681170038297,,2.698334287000762,0.00022632299805991352,0.2863440319997608,7.0405412319960305,,,0.29107804800150916,0.02587064600083977,0.037292672001058236,1.1977389870007755,,,,0.1724465049992432,0.2546142220016918,
state_svm_amplitude,42,14906,2000,10,4,3.5339110159984557,0.5805652579947491,,1.9028700619965093,0.00022325799363898113,0.4041853979942971,1.2265679620031733,,,0.30963296700065257,0.03170845499698771,0.042333268000220414,0.19632552999973996,,,,0.23398479699972086,0.3126107990028686,
state_svm_amplitude,43,14906,2000,10,4,3.525947037000151,0.5053962730016792,,1.94753479299834,0.0002582119996077381,0.38506657199468464,1.1930362769999192,,,0.23321356599626597,0.03151011199952336,0.0421834270018735,0.19799164700089023,,,,0.2306187130016042,0.30790301699744305,
state_svm_amplitude,44,14906,2000,10,4,3.728252018998319,0.5237329180017696,,1.9647042420037906,0.0002096459938911721,0.5195846299975528,1.2437013700036914,,,0.2369559879953158,0.032555873003730085,0.0441487730058725,0.20950940899638226,,,,0.23895322300086264,0.31841469099890674,
hybrid_svm_angle,42,14906,2000,10,10,4.62133580900263,0.6930580379994353,,4.073986654999317,0.0002543029986554757,0.5452860820005299,,0.001654869003687054,,0.6268569270032458,0.03306841699668439,0.03284052399976645,,0.0002798689965857193,,,0.2438226919985027,0.2415680680060177,
hybrid_svm_angle,43,14906,2000,10,10,6.0627685580038815,0.7021637029974954,,5.40069412599405,0.0002792899977066554,0.6601121040002909,,0.0015191170023172162,,0.6370764690000215,0.03274685399810551,0.03200090100290254,,0.0003260450030211359,,,0.24452940100309206,0.2372874810025678,
hybrid_svm_angle,44,14906,2000,10,10,6.199390570000105,0.7038685350053129,,5.28288888699899,0.00025382400053786114,0.9138643390033394,,0.0022237160010263324,,0.6338542009980301,0.034858257000450976,0.034862489002989605,,0.00028223499975865707,,,0.25618820499948924,0.25417788400227437,
hybrid_svm_amplitude,42,14906,2000,10,4,4.0868498439958785,0.6323352830004296,,2.6538250599987805,0.00021521199960261583,1.431870255000831,,0.0009128460005740635,,0.4173924829956377,0.10990061000484275,0.10463407999486662,,0.00039070799539331347,,,0.7718313939985819,0.7665067069974612,
hybrid_svm_amplitude,43,14906,2000,10,4,4.742257226993388,0.6891586339988862,,2.847099957994942,0.0002005620044656098,1.8939455760046258,,0.0009862509978120215,,0.46564181899884716,0.11446775799413444,0.10857750400464283,,0.0004566120041999966,,,0.8080707280023489,0.8186684379979852,
hybrid_svm_amplitude,44,14906,2000,10,4,4.607439952000277,0.7016511189940502,,2.7606825170005322,0.00020226299966452643,1.8451639400009299,,0.0013702150026801974,,0.4541382009992958,0.12649558400153182,0.12061710299894912,,0.00038771700201323256,,,0.8986800839993521,0.8960548989998642,
photonic_hybrid_svm_angle,42,14906,2000,120,,1.1419131430011475,0.1450560549928923,,0.5229592129981029,,0.6058405520016095,,0.013084498001262546,,0.007857887001591735,0.06869865699991351,0.06776492999779293,,0.0007199650062830187,,,0.5026804320004885,0.5071060400005081,
photonic_hybrid_svm_angle,43,14906,2000,120,,0.6460237220017007,0.13697157400019933,,0.07870371700118994,,0.5442369160009548,,0.023053308999806177,,0.007551271999545861,0.06553781300317496,0.06313451499590883,,0.0007352530010393821,,,0.47030681700562127,0.47326697099924786,
photonic_hybrid_svm_angle,44,14906,2000,120,,0.6736706640003831,0.14117704499949468,,0.0673420309976791,,0.5875707250015694,,0.01873012600117363,,0.007460569999238942,0.06648011100332951,0.06648991400288651,,0.0007341099990298972,,,0.4942507529995055,0.49029852700186893,
photonic_hybrid_svm_amplitude,42,14906,2000,10,,0.3510315800012904,0.07021825799893122,,0.024272790004033595,,0.3245103220033343,,0.0022274559960351326,,0.0036099599965382367,0.03328763299941784,0.03306315100053325,,0.0002483970019966364,,,0.24857413500285475,0.244808978997753,
photonic_hybrid_svm_amplitude,43,14906,2000,10,,0.4097126999986358,0.07225627300067572,,0.028327253996394575,,0.37803321899991715,,0.003327284000988584,,0.004152028006501496,0.03496320399426622,0.032858259000931866,,0.00026742400223156437,,,0.24508696999691892,0.2440587349992711,
