family,model,n_seeds,n_test,roc_auc,roc_auc_std,fpr,tpr,tpr_std
svm,qsvm_angle,1,50,0.9808,0.0,0.0,0.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.01,0.56,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.02,0.56,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.03,0.56,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.04,0.96,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.05,0.96,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.06,0.96,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.07,0.96,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.08,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.09,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.1,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.11,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.12,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.13,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.14,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.15,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.16,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.17,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.18,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.19,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.2,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.21,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.22,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.23,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.24,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.25,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.26,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.27,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.28,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.29,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.3,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.31,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.32,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.33,1.0,0.0
svm,qsvm_angle,1,50,0.9808,0.0,0.34,1.0,0.0
