model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_distance_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_similarity_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_similarity_s,profile_predict_vote_s,profile_train_predict_distance_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s,profile_train_predict_vote_s
qsvm_angle,42,120,50,8,8,1.4644116330018733,1.2018833869951777,,,,,,,,,,,,,,,
state_svm_angle,42,120,50,8,8,0.035454949997074436,0.009711835002235603,,0.015482000999327283,0.00018584600184112787,0.0011089960025856271,0.018631002996698953,,0.009143249997578096,0.0002007309958571568,0.00017333999858237803,0.000187497993465513,,,0.00014234099944587797,0.0001694270031293854,
qsvm_amplitude,42,120,50,8,3,1.7971004940045532,1.3660081089983578,,,,,,,,,,,,,,,
state_svm_amplitude,42,120,50,8,3,0.016613047999271657,0.007173615995270666,,0.015385892998892814,0.00022777599951950833,0.0007618500021635555,0.00020615500397980213,,0.00675835400033975,0.0001970169978449121,0.00014220699813449755,6.973600102355704e-05,,,0.00011515799997141585,0.0001439359984942712,
qsvm_zz,42,120,50,8,8,16.188639421001426,13.156116549005674,,,,,,,,,,,,,,,
state_svm_zz,42,120,50,8,8,0.23063813799672062,0.08749394399637822,,0.2288476100002299,0.00019969999993918464,0.0010462990030646324,0.0005049630053690635,,0.0868008529942017,0.0002653720002854243,0.0001843999998527579,0.00023436899937223643,,,0.00015238200285239145,0.00018447999900672585,
qknn_angle,42,120,50,8,8,0.01550627600227017,0.007947147001686972,,0.015296732002752833,0.00018301699310541153,,,0.00019647299632197246,0.007032483001239598,7.542999810539186e-06,1.2905999028589576e-05,,0.0006883320020278916,0.0002877280057873577,5.49999822396785e-06,1.081800292013213e-05,0.0019844920025207102
state_knn_angle,42,120,50,8,8,0.02022272100293776,0.010473510003066622,,0.019975379000243265,0.0002108750049956143,,,0.00021782400290248916,0.009212169999955222,7.477996405214071e-06,1.971500023500994e-05,,0.001003766999929212,0.0024219949991675094,6.22699735686183e-06,1.501500082667917e-05,0.0020109890028834343
qknn_amplitude,42,120,50,8,3,0.020911947001877706,0.010649552998074796,,0.02063420099875657,0.00023645899636903778,,,8.74699981068261e-05,0.009576739998010453,5.945003067608923e-06,1.4378994819708169e-05,,0.0009547040026518516,0.00010931200085906312,7.144000846892595e-06,1.5725003322586417e-05,0.0021408609973150305
state_knn_amplitude,42,120,50,8,3,0.0339129940039129,0.007667242003662977,,0.033634897001320496,0.00023466999846277758,,,7.547600398538634e-05,0.006916703001479618,5.099995178170502e-06,1.186399458674714e-05,,0.0006499390001408756,8.247699588537216e-05,4.814995918422937e-06,9.078998118638992e-06,0.0013964460013085045
qknn_zz,42,120,50,8,8,0.14951554899744224,0.06625631199858617,,0.14926894800009904,0.0002068270041490905,,,0.0003599219999159686,0.0652024450027966,5.045003490522504e-06,1.662800059420988e-05,,0.0006604489972232841,0.0003229529975214973,5.333000444807112e-06,1.1082003766205162e-05,0.001970478995644953
state_knn_zz,42,120,50,8,8,0.1750284450026811,0.06465773200034164,,0.1747335460022441,0.00025999799981946126,,,0.00033957200503209606,0.06362873699981719,5.3580006351694465e-06,1.731499651214108e-05,,0.0006574530052603222,0.0003421770015847869,4.959001671522856e-06,9.752002370078117e-06,0.0019574589969124645
photonic_fidelity_svm_angle,42,120,50,8,,0.49832575600157725,0.06638780600042082,,,,,,,,,,,,,,,
photonic_state_svm_angle,42,120,50,8,,0.017422042998077814,0.02449475699540926,,0.0032921949969022535,,0.0009312180045526475,0.013170284000807442,,0.017437091999454424,0.00028895900322822854,0.00018025499593932182,0.006578943000931758,,,0.00014086500596022233,0.00016627099830657244,
photonic_fidelity_knn_angle,42,120,50,8,,0.07407032899936894,0.0676736220048042,,,,,,,,,,,,,,,
photonic_state_knn_angle,42,120,50,8,,0.01477175400214037,0.003440838001552038,4.564900154946372e-05,0.0028410680024535395,,0.0010057309991680086,0.01084746400010772,1.830799737945199e-05,1.696200342848897e-05,0.0010719850033638068,0.000870848998602014,0.0014513679998344742,,,0.0010128709982382134,0.0009469939977861941,
