model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std,train_time_mean_s,train_time_std_s,predict_time_mean_s,predict_time_std_s,n_train,n_test,n_features,n_qubits
qsvm_angle,0.88,0.0,0.9523809523809523,0.0,0.8,0.0,0.8695652173913043,0.0,0.9808,0.0,1.4644116330018733,0.0,1.2018833869951777,0.0,120,50,8,8
state_svm_angle,0.88,0.0,0.9523809523809523,0.0,0.8,0.0,0.8695652173913043,0.0,0.9808,0.0,0.035454949997074436,0.0,0.009711835002235603,0.0,120,50,8,8
qsvm_amplitude,0.88,0.0,0.8064516129032258,0.0,1.0,0.0,0.8928571428571429,0.0,0.9328000000000001,0.0,1.7971004940045532,0.0,1.3660081089983578,0.0,120,50,8,3
state_svm_amplitude,0.88,0.0,0.8064516129032258,0.0,1.0,0.0,0.8928571428571429,0.0,0.9328000000000001,0.0,0.016613047999271657,0.0,0.007173615995270666,0.0,120,50,8,3
qsvm_zz,0.9,0.0,0.9545454545454546,0.0,0.84,0.0,0.8936170212765957,0.0,0.9824,0.0,16.188639421001426,0.0,13.156116549005674,0.0,120,50,8,8
state_svm_zz,0.9,0.0,0.9545454545454546,0.0,0.84,0.0,0.8936170212765957,0.0,0.9824,0.0,0.23063813799672062,0.0,0.08749394399637822,0.0,120,50,8,8
qknn_angle,0.88,0.0,0.9523809523809523,0.0,0.8,0.0,0.8695652173913043,0.0,0.968,0.0,0.01550627600227017,0.0,0.007947147001686972,0.0,120,50,8,8
state_knn_angle,0.88,0.0,0.9523809523809523,0.0,0.8,0.0,0.8695652173913043,0.0,0.968,0.0,0.02022272100293776,0.0,0.010473510003066622,0.0,120,50,8,8
qknn_amplitude,0.94,0.0,0.9583333333333334,0.0,0.92,0.0,0.9387755102040817,0.0,0.976,0.0,0.020911947001877706,0.0,0.010649552998074796,0.0,120,50,8,3
state_knn_amplitude,0.94,0.0,0.9583333333333334,0.0,0.92,0.0,0.9387755102040817,0.0,0.976,0.0,0.0339129940039129,0.0,0.007667242003662977,0.0,120,50,8,3
qknn_zz,0.82,0.0,0.9,0.0,0.72,0.0,0.8,0.0,0.9279999999999999,0.0,0.14951554899744224,0.0,0.06625631199858617,0.0,120,50,8,8
state_knn_zz,0.82,0.0,0.9,0.0,0.72,0.0,0.8,0.0,0.9279999999999999,0.0,0.1750284450026811,0.0,0.06465773200034164,0.0,120,50,8,8
photonic_fidelity_svm_angle,0.96,0.0,0.96,0.0,0.96,0.0,0.96,0.0,0.9488,0.0,0.49832575600157725,0.0,0.06638780600042082,0.0,120,50,8,
photonic_state_svm_angle,0.92,0.0,0.9565217391304348,0.0,0.88,0.0,0.9166666666666666,0.0,0.9584,0.0,0.017422042998077814,0.0,0.02449475699540926,0.0,120,50,8,
photonic_fidelity_knn_angle,0.94,0.0,0.9583333333333334,0.0,0.92,0.0,0.9387755102040817,0.0,0.9687999999999999,0.0,0.07407032899936894,0.0,0.0676736220048042,0.0,120,50,8,
photonic_state_knn_angle,0.94,0.0,0.9583333333333334,0.0,0.92,0.0,0.9387755102040817,0.0,0.9687999999999999,0.0,0.01477175400214037,0.0,0.003440838001552038,0.0,120,50,8,
