dataset,model,family,train_time_s,predict_time_s,total_time_s
ids2012,qsvm_angle,svm,1.4644116330018733,1.2018833869951777,2.666295019997051
ids2012,state_svm_angle,svm,0.035454949997074436,0.009711835002235603,0.04516678499931004
ids2012,qsvm_amplitude,svm,1.7971004940045532,1.3660081089983578,3.163108603002911
ids2012,state_svm_amplitude,svm,0.016613047999271657,0.007173615995270666,0.023786663994542323
ids2012,qsvm_zz,svm,16.188639421001426,13.156116549005674,29.3447559700071
ids2012,state_svm_zz,svm,0.23063813799672062,0.08749394399637822,0.31813208199309884
ids2012,qknn_angle,knn,0.01550627600227017,0.007947147001686972,0.02345342300395714
ids2012,state_knn_angle,knn,0.02022272100293776,0.010473510003066622,0.030696231006004382
ids2012,qknn_amplitude,knn,0.020911947001877706,0.010649552998074796,0.0315614999999525
ids2012,state_knn_amplitude,knn,0.0339129940039129,0.007667242003662977,0.04158023600757588
ids2012,qknn_zz,knn,0.14951554899744224,0.06625631199858617,0.2157718609960284
ids2012,state_knn_zz,knn,0.1750284450026811,0.06465773200034164,0.23968617700302275
ids2012,photonic_fidelity_svm_angle,svm,0.49832575600157725,0.06638780600042082,0.5647135620019981
ids2012,photonic_state_svm_angle,svm,0.017422042998077814,0.02449475699540926,0.041916799993487075
ids2012,photonic_fidelity_knn_angle,knn,0.07407032899936894,0.0676736220048042,0.14174395100417314
ids2012,photonic_state_knn_angle,knn,0.01477175400214037,0.003440838001552038,0.018212592003692407
url2016,qsvm_angle,svm,1.487119443998381,1.1818077999996603,2.6689272439980414
url2016,state_svm_angle,svm,0.01707304200681392,0.010406501998659223,0.027479544005473144
url2016,qsvm_amplitude,svm,1.840532358000928,1.4469198820006568,3.287452240001585
url2016,state_svm_amplitude,svm,0.016923158000281546,0.0077344749952317216,0.024657632995513268
url2016,qsvm_zz,svm,16.531573255000694,13.811308985001233,30.342882240001927
url2016,state_svm_zz,svm,0.2277939640043769,0.09046568200574256,0.31825964601011947
url2016,qknn_angle,knn,0.015599543003190774,0.008123128005536273,0.023722671008727048
url2016,state_knn_angle,knn,0.01982292500179028,0.012176557997008786,0.03199948299879907
url2016,qknn_amplitude,knn,0.019814753002719954,0.009881933001452126,0.02969668600417208
url2016,state_knn_amplitude,knn,0.019550737000827212,0.00981360600417247,0.029364343004999682
url2016,qknn_zz,knn,0.16061824100324884,0.06783433999953559,0.22845258100278443
url2016,state_knn_zz,knn,0.17193412400229136,0.06746766199648846,0.23940178599877981
url2016,photonic_fidelity_svm_angle,svm,0.5279051149991574,0.07452578200172866,0.602430897000886
url2016,photonic_state_svm_angle,svm,0.014523544996336568,0.0346755979990121,0.049199142995348666
url2016,photonic_fidelity_knn_angle,knn,0.09146579899970675,0.07693769500474446,0.1684034940044512
url2016,photonic_state_knn_angle,knn,0.008879045002686325,0.0025855399944703095,0.011464584997156635
