model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std,train_time_mean_s,train_time_std_s,predict_time_mean_s,predict_time_std_s,n_train,n_test,n_features,n_qubits
qsvm_angle,0.8846153846153846,0.0,0.9166666666666666,0.0,0.8461538461538461,0.0,0.88,0.0,0.9541420118343195,0.0,1.487119443998381,0.0,1.1818077999996603,0.0,122,52,8,8
state_svm_angle,0.8846153846153846,0.0,0.9166666666666666,0.0,0.8461538461538461,0.0,0.88,0.0,0.9541420118343195,0.0,0.01707304200681392,0.0,0.010406501998659223,0.0,122,52,8,8
qsvm_amplitude,0.8076923076923077,0.0,0.8636363636363636,0.0,0.7307692307692307,0.0,0.7916666666666666,0.0,0.9142011834319527,0.0,1.840532358000928,0.0,1.4469198820006568,0.0,122,52,8,3
state_svm_amplitude,0.8076923076923077,0.0,0.8636363636363636,0.0,0.7307692307692307,0.0,0.7916666666666666,0.0,0.9142011834319527,0.0,0.016923158000281546,0.0,0.0077344749952317216,0.0,122,52,8,3
qsvm_zz,0.9038461538461539,0.0,0.8387096774193549,0.0,1.0,0.0,0.9122807017543859,0.0,0.9763313609467456,0.0,16.531573255000694,0.0,13.811308985001233,0.0,122,52,8,8
state_svm_zz,0.9038461538461539,0.0,0.8387096774193549,0.0,1.0,0.0,0.9122807017543859,0.0,0.9763313609467456,0.0,0.2277939640043769,0.0,0.09046568200574256,0.0,122,52,8,8
qknn_angle,0.9038461538461539,0.0,0.92,0.0,0.8846153846153846,0.0,0.9019607843137255,0.0,0.9600591715976331,0.0,0.015599543003190774,0.0,0.008123128005536273,0.0,122,52,8,8
state_knn_angle,0.9038461538461539,0.0,0.92,0.0,0.8846153846153846,0.0,0.9019607843137255,0.0,0.9600591715976331,0.0,0.01982292500179028,0.0,0.012176557997008786,0.0,122,52,8,8
qknn_amplitude,0.9423076923076923,0.0,0.96,0.0,0.9230769230769231,0.0,0.9411764705882353,0.0,0.9607988165680472,0.0,0.019814753002719954,0.0,0.009881933001452126,0.0,122,52,8,3
state_knn_amplitude,0.9423076923076923,0.0,0.96,0.0,0.9230769230769231,0.0,0.9411764705882353,0.0,0.9607988165680472,0.0,0.019550737000827212,0.0,0.00981360600417247,0.0,122,52,8,3
qknn_zz,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9585798816568047,0.0,0.16061824100324884,0.0,0.06783433999953559,0.0,122,52,8,8
state_knn_zz,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9585798816568047,0.0,0.17193412400229136,0.0,0.06746766199648846,0.0,122,52,8,8
photonic_fidelity_svm_angle,0.9038461538461539,0.0,0.92,0.0,0.8846153846153846,0.0,0.9019607843137255,0.0,0.9467455621301775,0.0,0.5279051149991574,0.0,0.07452578200172866,0.0,122,52,8,
photonic_state_svm_angle,0.9038461538461539,0.0,0.9565217391304348,0.0,0.8461538461538461,0.0,0.8979591836734694,0.0,0.9349112426035504,0.0,0.014523544996336568,0.0,0.0346755979990121,0.0,122,52,8,
photonic_fidelity_knn_angle,0.9615384615384616,0.0,0.9285714285714286,0.0,1.0,0.0,0.9629629629629629,0.0,0.9763313609467457,0.0,0.09146579899970675,0.0,0.07693769500474446,0.0,122,52,8,
photonic_state_knn_angle,0.9423076923076923,0.0,0.96,0.0,0.9230769230769231,0.0,0.9411764705882353,0.0,0.9763313609467457,0.0,0.008879045002686325,0.0,0.0025855399944703095,0.0,122,52,8,
