experiment,artifact,dataset,family,model,seeds,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,roc_auc,roc_auc_std,train_time_s,train_time_std_s,predict_time_s,predict_time_std_s,n_train,n_test,n_features,n_qubits
MERLIN,merlin_ids2012,ids2012,svm,photonic_hybrid_svm_angle,1,0.99,0.0,0.9870775347912525,0.0,0.993,0.0,0.9900299102691924,0.0,0.996683,0.0,2.1792075330013176,0.0,0.1892724659992382,0.0,23358,2000,120,
MERLIN,merlin_ids2012,ids2012,svm,photonic_hybrid_svm_amplitude,1,0.991,0.0,0.9842209072978304,0.0,0.998,0.0,0.9910625620655412,0.0,0.996317,0.0,0.841041891995701,0.0,0.08743397500074934,0.0,23358,2000,10,
MERLIN,merlin_ids2012,ids2012,svm,photonic_state_svm_angle,1,0.9895,0.0,0.9860973187686196,0.0,0.993,0.0,0.9895366218236173,0.0,0.996707,0.0,6.538240959998802,0.0,0.5902743269980419,0.0,23358,2000,10,
MERLIN,merlin_ids2012,ids2012,knn,photonic_hybrid_knn_angle,1,0.995,0.0,0.9910714285714286,0.0,0.999,0.0,0.9950199203187251,0.0,0.9959655000000001,0.0,4.7442348600015976,0.0,1.2196686879979097,0.0,23358,2000,120,
MERLIN,merlin_ids2012,ids2012,knn,photonic_hybrid_knn_amplitude,1,0.9945,0.0,0.9900891972249752,0.0,0.999,0.0,0.9945246391239423,0.0,0.9954675,0.0,4.462011857998732,0.0,1.168345414000214,0.0,23358,2000,10,
MERLIN,merlin_ids2012,ids2012,knn,photonic_state_knn_angle,1,0.994,0.0,0.9920318725099602,0.0,0.996,0.0,0.9940119760479041,0.0,0.9954595,0.0,6.620793928996136,0.0,1.4859138849933515,0.0,23358,2000,10,
MERLIN,merlin_url2016,url2016,svm,photonic_hybrid_svm_angle,1,0.9835,0.0,0.9958974358974358,0.0,0.971,0.0,0.9832911392405064,0.0,0.9989009999999998,0.0,4.605648621,0.0,1.0188430909984163,0.0,13562,2000,455,
MERLIN,merlin_url2016,url2016,svm,photonic_hybrid_svm_amplitude,1,0.9725,0.0,0.991675338189386,0.0,0.953,0.0,0.9719530851606323,0.0,0.994851,0.0,0.6408863349934109,0.0,0.3071177559977514,0.0,13562,2000,20,
MERLIN,merlin_url2016,url2016,svm,photonic_state_svm_angle,1,0.974,0.0,0.99581589958159,0.0,0.952,0.0,0.9734151329243353,0.0,0.9949690000000001,0.0,3.7230653560036444,0.0,0.6504201650022878,0.0,13562,2000,15,
MERLIN,merlin_url2016,url2016,knn,photonic_hybrid_knn_angle,1,0.9925,0.0,0.992992992992993,0.0,0.992,0.0,0.992496248124062,0.0,0.997922,0.0,1.8547354140027892,0.0,0.6832349629985401,0.0,13562,2000,455,
MERLIN,merlin_url2016,url2016,knn,photonic_hybrid_knn_amplitude,1,0.9945,0.0,0.995987963891675,0.0,0.993,0.0,0.9944917376064096,0.0,0.9979199999999999,0.0,1.4922500149987172,0.0,0.5751523069993709,0.0,13562,2000,20,
MERLIN,merlin_url2016,url2016,knn,photonic_state_knn_angle,1,0.994,0.0,0.9949899799599199,0.0,0.993,0.0,0.993993993993994,0.0,0.9974379999999999,0.0,3.903404443000909,0.0,0.9630557299969951,0.0,13562,2000,15,
