2026-07-05 23:06:25 | INFO | runtime | Starting qSVM_qKNN run
2026-07-05 23:06:26 | INFO | qSVM_qKNN | Starting qSVM_qKNN run
2026-07-05 23:06:26 | INFO | qSVM_qKNN | === seed 42 ===
2026-07-05 23:06:26 | INFO | qSVM_qKNN | Loaded url2016 from data/qSVM_qKNN/ISCX-URL-2016/Defacement_Infogain.csv: rows raw=15711 clean=15711 train=13562 test=2000; classes=[0, 1]; features raw=15 used=15; photonic_modes=15
2026-07-05 23:06:26 | INFO | qSVM_qKNN | Class distribution clean/subset={0: 7781 (0.495), 1: 7930 (0.505)}; train={0: 6781 (0.500), 1: 6781 (0.500)}; test={0: 1000 (0.500), 1: 1000 (0.500)}
2026-07-05 23:06:26 | INFO | qSVM_qKNN | Running svm_classical: train=13562 test=2000 features=15 qubits=None
2026-07-05 23:06:28 | INFO | qSVM_qKNN | svm_classical accuracy=0.9705 precision=0.9906 recall=0.9500 f1=0.9699
2026-07-05 23:06:28 | INFO | qSVM_qKNN | Running hybrid_svm_angle: train=13562 test=2000 features=15 qubits=15
2026-07-05 23:06:41 | INFO | qSVM_qKNN | hybrid_svm_angle accuracy=0.9680 precision=0.9865 recall=0.9490 f1=0.9674
2026-07-05 23:06:41 | INFO | qSVM_qKNN | Running photonic_hybrid_svm_angle: train=13562 test=2000 features=15 qubits=None
2026-07-05 23:06:53 | INFO | qSVM_qKNN | photonic_hybrid_svm_angle accuracy=0.9835 precision=0.9959 recall=0.9710 f1=0.9833
2026-07-05 23:06:53 | INFO | qSVM_qKNN | Running photonic_hybrid_svm_amplitude: train=13562 test=2000 features=15 qubits=None
2026-07-05 23:06:56 | INFO | qSVM_qKNN | photonic_hybrid_svm_amplitude accuracy=0.9725 precision=0.9917 recall=0.9530 f1=0.9720
2026-07-05 23:06:56 | INFO | qSVM_qKNN | Running knn_classical: train=13562 test=2000 features=15 qubits=None
2026-07-05 23:06:57 | INFO | qSVM_qKNN | knn_classical accuracy=0.9930 precision=0.9930 recall=0.9930 f1=0.9930
2026-07-05 23:06:57 | INFO | qSVM_qKNN | Running hybrid_knn_angle: train=13562 test=2000 features=15 qubits=15
2026-07-05 23:07:10 | INFO | qSVM_qKNN | hybrid_knn_angle accuracy=0.9915 precision=0.9910 recall=0.9920 f1=0.9915
2026-07-05 23:07:10 | INFO | qSVM_qKNN | Running photonic_hybrid_knn_angle: train=13562 test=2000 features=15 qubits=None
2026-07-05 23:07:14 | INFO | qSVM_qKNN | photonic_hybrid_knn_angle accuracy=0.9925 precision=0.9930 recall=0.9920 f1=0.9925
2026-07-05 23:07:14 | INFO | qSVM_qKNN | Running photonic_hybrid_knn_amplitude: train=13562 test=2000 features=15 qubits=None
2026-07-05 23:07:18 | INFO | qSVM_qKNN | photonic_hybrid_knn_amplitude accuracy=0.9945 precision=0.9960 recall=0.9930 f1=0.9945
2026-07-05 23:07:19 | INFO | qSVM_qKNN | Wrote qSVM_qKNN artifacts to outdir/run_20260705-230625
2026-07-05 23:07:19 | INFO | root | Finished. Artifacts in: outdir/run_20260705-230625
