2026-07-05 22:46:19 | INFO | runtime | Starting qSVM_qKNN run
2026-07-05 22:46:20 | INFO | qSVM_qKNN | Starting qSVM_qKNN run
2026-07-05 22:46:20 | INFO | qSVM_qKNN | === seed 42 ===
2026-07-05 22:46:33 | INFO | qSVM_qKNN | Loaded ids2012 from data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedMonJun14Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedSatJun12Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedSunJun13Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedThuJun17Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedTueJun15Flows.csv,data/qSVM_qKNN/ISCX-IDS-2012/iscxids2012-master/data/CSV/TestbedWedJun16Flows.csv: rows raw=2071657 clean=300000 train=23358 test=2000; classes=[0, 1]; features raw=11 used=10; photonic_modes=10
2026-07-05 22:46:33 | INFO | qSVM_qKNN | Class distribution clean/subset={0: 287321 (0.958), 1: 12679 (0.042)}; train={0: 11679 (0.500), 1: 11679 (0.500)}; test={0: 1000 (0.500), 1: 1000 (0.500)}
2026-07-05 22:46:33 | INFO | qSVM_qKNN | Running svm_classical: train=23358 test=2000 features=10 qubits=None
2026-07-05 22:46:35 | INFO | qSVM_qKNN | svm_classical accuracy=0.9920 precision=0.9910 recall=0.9930 f1=0.9920
2026-07-05 22:46:35 | INFO | qSVM_qKNN | Running knn_classical: train=23358 test=2000 features=10 qubits=None
2026-07-05 22:46:36 | INFO | qSVM_qKNN | knn_classical accuracy=0.9960 precision=0.9940 recall=0.9980 f1=0.9960
2026-07-05 22:46:36 | INFO | qSVM_qKNN | Running state_svm_angle: train=23358 test=2000 features=10 qubits=10
2026-07-05 22:47:03 | INFO | qSVM_qKNN | state_svm_angle accuracy=0.9900 precision=0.9871 recall=0.9930 f1=0.9900
2026-07-05 22:47:03 | INFO | qSVM_qKNN | Running state_svm_amplitude: train=23358 test=2000 features=10 qubits=4
2026-07-05 22:47:13 | INFO | qSVM_qKNN | state_svm_amplitude accuracy=0.9655 precision=0.9438 recall=0.9900 f1=0.9663
2026-07-05 22:47:13 | INFO | qSVM_qKNN | Running state_knn_angle: train=23358 test=2000 features=10 qubits=10
2026-07-05 22:47:49 | INFO | qSVM_qKNN | state_knn_angle accuracy=0.9940 precision=0.9901 recall=0.9980 f1=0.9940
2026-07-05 22:47:49 | INFO | qSVM_qKNN | Running state_knn_amplitude: train=23358 test=2000 features=10 qubits=4
2026-07-05 22:48:07 | INFO | qSVM_qKNN | state_knn_amplitude accuracy=0.9940 precision=0.9891 recall=0.9990 f1=0.9940
2026-07-05 22:48:07 | INFO | qSVM_qKNN | Running hybrid_svm_angle: train=23358 test=2000 features=10 qubits=10
2026-07-05 22:48:17 | INFO | qSVM_qKNN | hybrid_svm_angle accuracy=0.9900 precision=0.9871 recall=0.9930 f1=0.9900
2026-07-05 22:48:17 | INFO | qSVM_qKNN | Running hybrid_svm_amplitude: train=23358 test=2000 features=10 qubits=4
2026-07-05 22:48:28 | INFO | qSVM_qKNN | hybrid_svm_amplitude accuracy=0.9575 precision=0.9507 recall=0.9650 f1=0.9578
2026-07-05 22:48:28 | INFO | qSVM_qKNN | Running hybrid_knn_angle: train=23358 test=2000 features=10 qubits=10
2026-07-05 22:48:37 | INFO | qSVM_qKNN | hybrid_knn_angle accuracy=0.9945 precision=0.9911 recall=0.9980 f1=0.9945
2026-07-05 22:48:37 | INFO | qSVM_qKNN | Running hybrid_knn_amplitude: train=23358 test=2000 features=10 qubits=4
2026-07-05 22:48:42 | INFO | qSVM_qKNN | hybrid_knn_amplitude accuracy=0.9935 precision=0.9901 recall=0.9970 f1=0.9935
2026-07-05 22:48:43 | INFO | qSVM_qKNN | Wrote qSVM_qKNN artifacts to outdir/run_20260705-224619
2026-07-05 22:48:43 | INFO | root | Finished. Artifacts in: outdir/run_20260705-224619
