model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_similarity_s,profile_fit_standardize_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_similarity_s,profile_predict_standardize_s,profile_predict_vote_s,profile_train_predict_distance_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s,profile_train_predict_vote_s
svm_classical,42,23358,2000,10,,0.5039996589985094,0.083822535998479,,,0.5039915480010677,,,,,0.04210293800133513,0.04171275900444016,,,,,0.48814421700080857,0.5000170069979504,
knn_classical,42,23358,2000,10,,0.02372856799775036,0.08786374299961608,,,0.02372245200240286,,,,,0.04449218700028723,0.04336500899808016,,,,,0.48735753999790177,0.4846529520000331,
state_svm_angle,42,23358,2000,10,10,24.028480627996032,2.242153491002682,4.037983638998412,0.034296489000553265,0.5210214659964549,19.43498085000465,,,0.35830226600228343,0.03356762899784371,0.04821760799677577,1.8012505430015153,,,,0.3920284019986866,0.5888588379966677,
state_svm_amplitude,42,23358,2000,10,4,7.426294614000653,0.7475929040010669,2.9641780870006187,0.0003374270017957315,1.0135525820005569,3.4481728569953702,,,0.30563406299916096,0.047921275996486656,0.06375007199676475,0.3294805199984694,,,,0.5643597630041768,0.7659677929987083,
state_knn_angle,42,23358,2000,10,10,4.127676586998859,3.07684339700063,4.126724418994854,0.00027386500005377457,,,,1.8449465910016443,0.3628852120018564,3.7762001738883555e-05,2.633600524859503e-05,,,0.868042672998854,19.022834003000753,0.0002453109991620295,2.4761000531725585e-05,9.64636081000208
state_knn_amplitude,42,23358,2000,10,4,2.9777312410005834,1.522879380005179,2.9771287870025844,0.00021688199922209606,,,,0.42473791600059485,0.23452671300037764,4.4043998059351e-05,3.505100175971165e-05,,,0.8628767259942833,3.5348021760000847,0.00024626499362057075,2.4746994313318282e-05,10.08241333100159
hybrid_svm_angle,42,23358,2000,10,10,8.53307190000487,0.6393063229988911,7.190185895000468,0.00022094400628702715,1.3393263520047185,,0.00314199900458334,,0.5497439780010609,0.04444550199696096,0.04482563700003084,,0.00027904500166187063,,,0.5153251169977011,0.5085514789971057,
hybrid_svm_amplitude,42,23358,2000,10,4,6.426483582996298,0.7359852500012494,4.242168513999786,0.00020448799477890134,2.182300191001559,,0.0017791550053516403,,0.4276157770000282,0.15762564900069265,0.1503470340030617,,0.0003797959943767637,,,1.7576052799995523,1.77626547300315,
hybrid_knn_angle,42,23358,2000,10,10,7.140510302000621,0.6920629020023625,7.118606641000952,0.0002321740030311048,0.019538163003744557,,0.0019054550066357478,,0.546231569001975,0.07324559800326824,0.07229980800184421,,0.0002763049997156486,,,0.814235016994644,0.812691019003978,
hybrid_knn_amplitude,42,23358,2000,10,4,3.941719788002956,0.3792891970006167,3.932561572997656,0.0002104519953718409,0.007723704999079928,,0.0012019819987472147,,0.3701122509955894,0.004907371003355365,0.003977881002356298,,0.00028251799813006073,,,0.04423753599985503,0.04060567900160095,
