model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std,train_time_mean_s,train_time_std_s,predict_time_mean_s,predict_time_std_s,n_train,n_test,n_features,n_qubits
svm_classical,0.992,0.0,0.9910179640718563,0.0,0.993,0.0,0.9920079920079921,0.0,0.995476,0.0,0.5039996589985094,0.0,0.083822535998479,0.0,23358,2000,10,
knn_classical,0.996,0.0,0.9940239043824701,0.0,0.998,0.0,0.9960079840319361,0.0,0.9989615000000001,0.0,0.02372856799775036,0.0,0.08786374299961608,0.0,23358,2000,10,
state_svm_angle,0.99,0.0,0.9870775347912525,0.0,0.993,0.0,0.9900299102691924,0.0,0.9957480000000001,0.0,24.028480627996032,0.0,2.242153491002682,0.0,23358,2000,10,10
state_svm_amplitude,0.9655,0.0,0.9437559580552908,0.0,0.99,0.0,0.9663250366032211,0.0,0.9571120000000001,0.0,7.426294614000653,0.0,0.7475929040010669,0.0,23358,2000,10,4
state_knn_angle,0.994,0.0,0.9900793650793651,0.0,0.998,0.0,0.9940239043824701,0.0,0.995951,0.0,4.127676586998859,0.0,3.07684339700063,0.0,23358,2000,10,10
state_knn_amplitude,0.994,0.0,0.9891089108910891,0.0,0.999,0.0,0.9940298507462687,0.0,0.9954540000000001,0.0,2.9777312410005834,0.0,1.522879380005179,0.0,23358,2000,10,4
hybrid_svm_angle,0.99,0.0,0.9870775347912525,0.0,0.993,0.0,0.9900299102691924,0.0,0.995537,0.0,8.53307190000487,0.0,0.6393063229988911,0.0,23358,2000,10,10
hybrid_svm_amplitude,0.9575,0.0,0.9507389162561576,0.0,0.965,0.0,0.9578163771712159,0.0,0.9734090000000001,0.0,6.426483582996298,0.0,0.7359852500012494,0.0,23358,2000,10,4
hybrid_knn_angle,0.9945,0.0,0.9910625620655412,0.0,0.998,0.0,0.9945191828599901,0.0,0.9964385,0.0,7.140510302000621,0.0,0.6920629020023625,0.0,23358,2000,10,10
hybrid_knn_amplitude,0.9935,0.0,0.9900695134061569,0.0,0.997,0.0,0.9935226706527155,0.0,0.9959115000000001,0.0,3.941719788002956,0.0,0.3792891970006167,0.0,23358,2000,10,4
