experiment,artifact,dataset,family,model,seeds,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,roc_auc,roc_auc_std,train_time_s,train_time_std_s,predict_time_s,predict_time_std_s,n_train,n_test,n_features,n_qubits
ORIGINAL,original_ids2012_gate_based,ids2012,svm,svm_classical,1,0.992,0.0,0.9910179640718563,0.0,0.993,0.0,0.9920079920079921,0.0,0.995476,0.0,0.5039996589985094,0.0,0.083822535998479,0.0,23358,2000,10,
ORIGINAL,original_ids2012_gate_based,ids2012,knn,knn_classical,1,0.996,0.0,0.9940239043824701,0.0,0.998,0.0,0.9960079840319361,0.0,0.9989615000000001,0.0,0.02372856799775036,0.0,0.08786374299961608,0.0,23358,2000,10,
ORIGINAL,original_ids2012_gate_based,ids2012,svm,state_svm_angle,1,0.99,0.0,0.9870775347912525,0.0,0.993,0.0,0.9900299102691924,0.0,0.9957480000000001,0.0,24.028480627996032,0.0,2.242153491002682,0.0,23358,2000,10,10
ORIGINAL,original_ids2012_gate_based,ids2012,svm,state_svm_amplitude,1,0.9655,0.0,0.9437559580552908,0.0,0.99,0.0,0.9663250366032211,0.0,0.9571120000000001,0.0,7.426294614000653,0.0,0.7475929040010669,0.0,23358,2000,10,4
ORIGINAL,original_ids2012_gate_based,ids2012,knn,state_knn_angle,1,0.994,0.0,0.9900793650793651,0.0,0.998,0.0,0.9940239043824701,0.0,0.995951,0.0,4.127676586998859,0.0,3.07684339700063,0.0,23358,2000,10,10
ORIGINAL,original_ids2012_gate_based,ids2012,knn,state_knn_amplitude,1,0.994,0.0,0.9891089108910891,0.0,0.999,0.0,0.9940298507462687,0.0,0.9954540000000001,0.0,2.9777312410005834,0.0,1.522879380005179,0.0,23358,2000,10,4
ORIGINAL,original_ids2012_gate_based,ids2012,svm,hybrid_svm_angle,1,0.99,0.0,0.9870775347912525,0.0,0.993,0.0,0.9900299102691924,0.0,0.995537,0.0,8.53307190000487,0.0,0.6393063229988911,0.0,23358,2000,10,10
ORIGINAL,original_ids2012_gate_based,ids2012,svm,hybrid_svm_amplitude,1,0.9575,0.0,0.9507389162561576,0.0,0.965,0.0,0.9578163771712159,0.0,0.9734090000000001,0.0,6.426483582996298,0.0,0.7359852500012494,0.0,23358,2000,10,4
ORIGINAL,original_ids2012_gate_based,ids2012,knn,hybrid_knn_angle,1,0.9945,0.0,0.9910625620655412,0.0,0.998,0.0,0.9945191828599901,0.0,0.9964385,0.0,7.140510302000621,0.0,0.6920629020023625,0.0,23358,2000,10,10
ORIGINAL,original_ids2012_gate_based,ids2012,knn,hybrid_knn_amplitude,1,0.9935,0.0,0.9900695134061569,0.0,0.997,0.0,0.9935226706527155,0.0,0.9959115000000001,0.0,3.941719788002956,0.0,0.3792891970006167,0.0,23358,2000,10,4
ORIGINAL,original_url2016_gate_based,url2016,svm,svm_classical,1,0.9465,0.0,0.9626943005181348,0.0,0.929,0.0,0.9455470737913486,0.0,0.9871595,0.0,0.7148249379970366,0.0,0.22826707599597285,0.0,13562,2000,10,
ORIGINAL,original_url2016_gate_based,url2016,knn,knn_classical,1,0.985,0.0,0.9840319361277445,0.0,0.986,0.0,0.985014985014985,0.0,0.994991,0.0,0.010313245002180338,0.0,0.031322192000516225,0.0,13562,2000,10,
ORIGINAL,original_url2016_gate_based,url2016,svm,state_svm_angle,1,0.915,0.0,0.9424307036247335,0.0,0.884,0.0,0.9122807017543859,0.0,0.9768344999999999,0.0,8.957715800999722,0.0,1.419395616001566,0.0,13562,2000,10,10
ORIGINAL,original_url2016_gate_based,url2016,svm,state_svm_amplitude,1,0.8945,0.0,0.9037871033776868,0.0,0.883,0.0,0.8932726353060192,0.0,0.9673895,0.0,3.4715784459986025,0.0,0.4959322639988386,0.0,13562,2000,10,4
ORIGINAL,original_url2016_gate_based,url2016,knn,state_knn_angle,1,0.9755,0.0,0.9712586719524281,0.0,0.98,0.0,0.975609756097561,0.0,0.9916335,0.0,2.379141523000726,0.0,1.7765737759982585,0.0,13562,2000,10,10
ORIGINAL,original_url2016_gate_based,url2016,knn,state_knn_amplitude,1,0.9765,0.0,0.9731876861966237,0.0,0.98,0.0,0.9765819631290483,0.0,0.992597,0.0,1.6567590560007375,0.0,0.9990022570054862,0.0,13562,2000,10,4
ORIGINAL,original_url2016_gate_based,url2016,svm,hybrid_svm_angle,1,0.9325,0.0,0.9645542427497314,0.0,0.898,0.0,0.9300880372863801,0.0,0.9825755,0.0,4.5496797950036125,0.0,0.8102002919986262,0.0,13562,2000,10,10
ORIGINAL,original_url2016_gate_based,url2016,svm,hybrid_svm_amplitude,1,0.9055,0.0,0.9383783783783783,0.0,0.868,0.0,0.9018181818181819,0.0,0.9721144999999999,0.0,3.753889990999596,0.0,0.5835001789964736,0.0,13562,2000,10,4
ORIGINAL,original_url2016_gate_based,url2016,knn,hybrid_knn_angle,1,0.983,0.0,0.9810756972111554,0.0,0.985,0.0,0.9830339321357285,0.0,0.9937895000000001,0.0,3.7999359290042776,0.0,0.577465239999583,0.0,13562,2000,10,10
ORIGINAL,original_url2016_gate_based,url2016,knn,hybrid_knn_amplitude,1,0.9765,0.0,0.9703849950641659,0.0,0.983,0.0,0.9766517635370094,0.0,0.990926,0.0,2.3531387819966767,0.0,0.3125239369983319,0.0,13562,2000,10,4
