model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_similarity_s,profile_fit_standardize_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_similarity_s,profile_predict_standardize_s,profile_predict_vote_s,profile_train_predict_distance_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s,profile_train_predict_vote_s
svm_classical,42,13562,2000,10,,0.7148249379970366,0.22826707599597285,,,0.7148181009979453,,,,,0.11473830499744508,0.11351974800345488,,,,,0.7696702480025124,0.7693639659992186,
knn_classical,42,13562,2000,10,,0.010313245002180338,0.031322192000516225,,,0.010308069999155123,,,,,0.015877573998295702,0.015439385999343358,,,,,0.0984051290070056,0.09606780899775913,
state_svm_angle,42,13562,2000,10,10,8.957715800999722,1.419395616001566,2.3569651119978516,0.043349249004677404,0.3629358250036603,6.194325484997535,,,0.2860936610013596,0.032960443997581024,0.04198807099601254,1.0576876260020072,,,,0.21668160700210137,0.2801223940041382,
state_svm_amplitude,42,13562,2000,10,4,3.4715784459986025,0.4959322639988386,1.8239670550028677,0.00022515700402436778,0.6160626220007543,1.0312721519949264,,,0.23470937900128774,0.03538658299657982,0.04425581599934958,0.18122557300375775,,,,0.2339438529961626,0.30238141500012716,
state_knn_angle,42,13562,2000,10,10,2.379141523000726,1.7765737759982585,2.3785449200004223,0.0002288190007675439,,,,1.0049874899996212,0.35632924800302135,3.670599835459143e-05,2.855400089174509e-05,,,0.41367992800223874,6.544244673001231,0.000145342004543636,2.3959997633937746e-05,2.790569097996922
state_knn_amplitude,42,13562,2000,10,4,1.6567590560007375,0.9990022570054862,1.6563084790032008,0.00021303399989847094,,,,0.2008337000006577,0.30878964699513745,3.924700286006555e-05,3.661000664578751e-05,,,0.48890095600654604,1.1849118770041969,0.00014614000247092918,2.456099900882691e-05,3.3133263000054285
hybrid_svm_angle,42,13562,2000,10,10,4.5496797950036125,0.8102002919986262,3.7504568770018523,0.0002160359945264645,0.7974315200044657,,0.001449395000236109,,0.544349861003866,0.1338815839990275,0.13166969099984271,,0.00028532899887068197,,,0.8868876389969955,0.8822571549972054,
hybrid_svm_amplitude,42,13562,2000,10,4,3.753889990999596,0.5835001789964736,2.739023629001167,0.00021153900161152706,1.013172772996768,,0.0014505979997920804,,0.2958849589995225,0.14363067299564136,0.143684012000449,,0.00028519099578261375,,,0.9719064689998049,0.9709405929970671,
hybrid_knn_angle,42,13562,2000,10,10,3.7999359290042776,0.577465239999583,3.78796651999437,0.00022386999626178294,0.01033158099744469,,0.0012879749992862344,,0.5422738810011651,0.017699902993626893,0.017185192999022547,,0.00029637899569934234,,,0.10781048300123075,0.10658620000322117,
hybrid_knn_amplitude,42,13562,2000,10,4,2.3531387819966767,0.3125239369983319,2.347596350002277,0.00023824199888622388,0.004422209000040311,,0.0008582660011597909,,0.30214992800028995,0.005266963999019936,0.004860417000600137,,0.0002380520018050447,,,0.029733138006122317,0.027938813000218943,
