model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std,train_time_mean_s,train_time_std_s,predict_time_mean_s,predict_time_std_s,n_train,n_test,n_features,n_qubits
svm_classical,0.9465,0.0,0.9626943005181348,0.0,0.929,0.0,0.9455470737913486,0.0,0.9871595,0.0,0.7148249379970366,0.0,0.22826707599597285,0.0,13562,2000,10,
knn_classical,0.985,0.0,0.9840319361277445,0.0,0.986,0.0,0.985014985014985,0.0,0.994991,0.0,0.010313245002180338,0.0,0.031322192000516225,0.0,13562,2000,10,
state_svm_angle,0.915,0.0,0.9424307036247335,0.0,0.884,0.0,0.9122807017543859,0.0,0.9768344999999999,0.0,8.957715800999722,0.0,1.419395616001566,0.0,13562,2000,10,10
state_svm_amplitude,0.8945,0.0,0.9037871033776868,0.0,0.883,0.0,0.8932726353060192,0.0,0.9673895,0.0,3.4715784459986025,0.0,0.4959322639988386,0.0,13562,2000,10,4
state_knn_angle,0.9755,0.0,0.9712586719524281,0.0,0.98,0.0,0.975609756097561,0.0,0.9916335,0.0,2.379141523000726,0.0,1.7765737759982585,0.0,13562,2000,10,10
state_knn_amplitude,0.9765,0.0,0.9731876861966237,0.0,0.98,0.0,0.9765819631290483,0.0,0.992597,0.0,1.6567590560007375,0.0,0.9990022570054862,0.0,13562,2000,10,4
hybrid_svm_angle,0.9325,0.0,0.9645542427497314,0.0,0.898,0.0,0.9300880372863801,0.0,0.9825755,0.0,4.5496797950036125,0.0,0.8102002919986262,0.0,13562,2000,10,10
hybrid_svm_amplitude,0.9055,0.0,0.9383783783783783,0.0,0.868,0.0,0.9018181818181819,0.0,0.9721144999999999,0.0,3.753889990999596,0.0,0.5835001789964736,0.0,13562,2000,10,4
hybrid_knn_angle,0.983,0.0,0.9810756972111554,0.0,0.985,0.0,0.9830339321357285,0.0,0.9937895000000001,0.0,3.7999359290042776,0.0,0.577465239999583,0.0,13562,2000,10,10
hybrid_knn_amplitude,0.9765,0.0,0.9703849950641659,0.0,0.983,0.0,0.9766517635370094,0.0,0.990926,0.0,2.3531387819966767,0.0,0.3125239369983319,0.0,13562,2000,10,4
